"datetime","excel_code","day","time","field_soil_temp_c","field_air_temp_c","field_rh","field_soil_wc","forest_soil_temp_c","forest_air_temp_c","forest_rh","forest_soil_wc","pond_soil_temp_c","pond_air_temp_c","pond_rh","pond_soil_wc"
"2018-04-01 0:00","43191","43191","0","-0.032","4.532","82.9","0.2182","3.591","4.584","84","0.1724","6.128","4.714","89.3","0.455"
"2018-04-01 1:00","43191.04167","43191","0.041666667","-0.032","1.344","80.6","0.2167","3.591","1.317","81.3","0.1717","6.051","1.832","84.2","0.455"
"2018-04-01 2:00","43191.08333","43191","0.083333333","-0.032","-0.535","76.3","0.2146","3.538","-0.479","77.1","0.171","5.924","-0.255","79.6","0.455"
"2018-04-01 3:00","43191.125","43191","0.125","-0.032","-0.789","72.5","0.2131","3.406","-0.845","73.8","0.171","5.693","-0.535","75.4","0.455"
"2018-04-01 4:00","43191.16667","43191","0.166666667","-0.032","-1.556","68.1","0.2116","3.274","-1.327","69.9","0.1702","5.385","-1.043","71.1","0.455"
"2018-04-01 5:00","43191.20833","43191","0.208333333","-0.032","-2.16","68.4","0.2116","3.142","-1.871","69.8","0.1695","5.128","-1.556","70","0.455"
"2018-04-01 6:00","43191.25","43191","0.25","-0.032","-2.976","67.3","0.2109","3.009","-2.654","69","0.1688","4.869","-2.392","68.8","0.4542"
"2018-04-01 7:00","43191.29167","43191","0.291666667","-0.032","-3.449","67","0.2102","2.877","-3.094","67.6","0.1688","4.636","-3.212","68.6","0.455"
"2018-04-01 8:00","43191.33333","43191","0.333333333","-0.032","-2.537","67.8","0.2095","2.77","-2.859","67.7","0.1681","4.48","-1.584","67.8","0.455"
"2018-04-01 9:00","43191.375","43191","0.375","-0.032","-0.704","63","0.2095","2.664","-2.102","67","0.1681","4.376","-0.116","65","0.4542"
"2018-04-01 10:00","43191.41667","43191","0.416666667","-0.032","0.329","55.2","0.2102","2.584","-1.128","61.1","0.1673","4.22","1.262","58.6","0.455"
"2018-04-01 11:00","43191.45833","43191","0.458333333","-0.032","1.643","49.2","0.2102","2.503","0.163","56.3","0.1673","4.063","2.584","51","0.4542"
"2018-04-01 12:00","43191.5","43191","0.5","-0.032","2.182","46.2","0.2109","2.45","0.632","53.9","0.1673","4.011","3.433","46.8","0.4542"
"2018-04-01 13:00","43191.54167","43191","0.541666667","-0.032","4.194","42.1","0.2116","2.423","1.425","50.5","0.1673","4.22","4.141","44.3","0.455"
"2018-04-01 14:00","43191.58333","43191","0.583333333","-0.032","3.591","38.9","0.2124","2.477","1.697","47","0.1666","4.74","5.36","40.9","0.455"
"2018-04-01 15:00","43191.625","43191","0.625","-0.004","4.636","38.7","0.2131","2.557","1.994","46.3","0.1666","5.282","4.011","40.8","0.455"
"2018-04-01 16:00","43191.66667","43191","0.666666667","-0.004","3.089","38.3","0.2146","2.584","2.61","46.8","0.1666","5.745","5.385","40.2","0.4557"
"2018-04-01 17:00","43191.70833","43191","0.708333333","-0.004","3.512","40.7","0.2167","2.584","1.967","47.9","0.1659","6.102","3.459","42","0.4557"
